dyError;dthetaError;dkappaError;vrotError;vRotKappaError;vRotPosFilteredError;vRotPosUnfilteredError;vRotPosError;timeError
-0.000846019500449;-0.00133381634015;0.0;-0.0078691514771;0.0;-0.018078788837;-0.00267485682071;-0.0078691514771;1490978239.91
-0.000846019500449;-0.00133381634015;0.0;-0.00783162267085;0.0;-0.0181770997345;-0.00267485682071;-0.00783162267085;1490978239.93
-0.000846019500449;-0.00133381634015;0.0;-0.00774337208539;0.0;-0.0182072389138;-0.00267485682071;-0.00774337208539;1490978239.95
-0.000846019500449;-0.00133381634015;0.0;-0.00759551053325;0.0;-0.0181559721887;-0.00267485682071;-0.00759551053325;1490978239.97
-0.000846019500449;-0.00133381634015;0.0;-0.00732795787341;0.0;-0.0179443107826;-0.00267485682071;-0.00732795787341;1490978239.99
-0.000846019500449;-0.00133381634015;0.0;-0.00700315306732;0.0;-0.0176496346152;-0.00267485682071;-0.00700315306732;1490978240.01
-0.00081107428634;-0.00051990935264;0.0;-0.00662077170615;0.0;-0.0172715455637;-0.00194927275467;-0.00662077170615;1490978240.03
-0.00081107428634;-0.00051990935264;0.0;-0.00618381379194;0.0;-0.0168121762261;-0.00194927275467;-0.00618381379194;1490978240.05
-0.00081107428634;-0.00051990935264;0.0;-0.00569625629541;0.0;-0.0162757123063;-0.00194927275467;-0.00569625629541;1490978240.07
-0.00081107428634;-0.00051990935264;0.0;-0.00516412514037;0.0;-0.015668277005;-0.00194927275467;-0.00516412514037;1490978240.09
-0.00081107428634;-0.00051990935264;0.0;-0.00459379180054;0.0;-0.0149976186167;-0.00194927275467;-0.00459379180054;1490978240.11
-0.00081107428634;-0.00051990935264;0.0;-0.0039721205136;0.0;-0.014245908812;-0.00194927275467;-0.0039721205136;1490978240.13
-0.000769110542207;0.000324810852031;0.0;-0.00333087624984;0.0;-0.0134531316956;-0.00113575196682;-0.00333087624984;1490978240.15
-0.000769110542207;0.000324810852031;0.0;-0.00267715516703;0.0;-0.0126285496036;-0.00113575196682;-0.00267715516703;1490978240.17
-0.000769110542207;0.000324810852031;0.0;-0.00201808192936;0.0;-0.0117811381844;-0.00113575196682;-0.00201808192936;1490978240.19
-0.000769110542207;0.000324810852031;0.0;-0.00136062170576;0.0;-0.0109198048081;-0.00113575196682;-0.00136062170576;1490978240.21
-0.000769110542207;0.000324810852031;0.0;-0.000711266942048;0.0;-0.0100533659544;-0.00113575196682;-0.000711266942048;1490978240.23
-0.000769110542207;0.000324810852031;0.0;-8.42987629666e-05;0.0;-0.00920051156314;-0.00113575196682;-8.42987629666e-05;1490978240.25
-0.000732835870587;0.000808124821235;0.0;0.000523712067349;0.0;-0.00835758586268;-0.000665437304948;0.000523712067349;1490978240.27
-0.000732835870587;0.000808124821235;0.0;0.00110829949707;0.0;-0.00753170229749;-0.000665437304948;0.00110829949707;1490978240.29
-0.000732835870587;0.000808124821235;0.0;0.00166444222347;0.0;-0.00672907273759;-0.000665437304948;0.00166444222347;1490978240.31
-0.000732835870587;0.000808124821235;0.0;0.00218871767847;0.0;-0.00595520566258;-0.000665437304948;0.00218871767847;1490978240.33
-0.000732835870587;0.000808124821235;0.0;0.00267759835138;0.0;-0.00521496633942;-0.000665437304948;0.00267759835138;1490978240.35
-0.000732835870587;0.000808124821235;0.0;0.00313851858959;0.0;-0.00450056646196;-0.000665437304948;0.00313851858959;1490978240.37
-0.000743114363268;0.00057537606301;0.0;0.00355842680061;0.0;-0.0038291670393;-0.000958216935233;0.00355842680061;1490978240.39
-0.000743114363268;0.00057537606301;0.0;0.00393641606994;0.0;-0.00320367660844;-0.000958216935233;0.00393641606994;1490978240.41
-0.000743114363268;0.00057537606301;0.0;0.00427084709636;0.0;-0.00262640709118;-0.000958216935233;0.00427084709636;1490978240.43
-0.000743114363268;0.00057537606301;0.0;0.00456154915234;0.0;-0.002098930621;-0.000958216935233;0.00456154915234;1490978240.45
-0.000743114363268;0.00057537606301;0.0;0.00480922514817;0.0;-0.00162204974856;-0.000958216935233;0.00480922514817;1490978240.47
-0.000743114363268;0.00057537606301;0.0;0.00475436336365;0.0;-0.00153583419611;-0.000958216935233;0.00475436336365;1490978240.49
-0.000743114363268;0.00057537606301;0.0;0.0046992699502;0.0;-0.00145212349392;-0.000958216935233;0.0046992699502;1490978240.51
-0.000704397413726;0.00045366088066;0.0;0.00464289797624;0.0;-0.00137171888193;-0.00102963436109;0.00464289797624;1490978240.53
-0.000704397413726;0.00045366088066;0.0;0.00458525017212;0.0;-0.00129534232895;-0.00102963436109;0.00458525017212;1490978240.55
-0.000704397413726;0.00045366088066;0.0;0.00452550822734;0.0;-0.00122362755655;-0.00102963436109;0.00452550822734;1490978240.57
-0.000704397413726;0.00045366088066;0.0;0.00446333969089;0.0;-0.00115708296477;-0.00102963436109;0.00446333969089;1490978240.59
-0.000704397413726;0.00045366088066;0.0;0.00439984851838;0.0;-0.00109608098177;-0.00102963436109;0.00439984851838;1490978240.61
-0.000704397413726;0.00045366088066;0.0;0.0043210016552;0.0;-0.00105573231288;-0.00102963436109;0.0043210016552;1490978240.63
-0.000735585646032;-9.47424826991e-06;0.0;0.00424292337269;0.0;-0.00101936555067;-0.00167905204274;0.00424292337269;1490978240.65
-0.000735585646032;-9.47424826991e-06;0.0;0.00416189739445;0.0;-0.000987628163051;-0.00167905204274;0.00416189739445;1490978240.67
-0.000735585646032;-9.47424826991e-06;0.0;0.00407981088532;0.0;-0.000961382046704;-0.00167905204274;0.00407981088532;1490978240.69
-0.000735585646032;-9.47424826991e-06;0.0;0.00399402163529;0.0;-0.000941337655992;-0.00167905204274;0.00399402163529;1490978240.71
-0.000735585646032;-9.47424826991e-06;0.0;0.00390508281558;0.0;-0.00092791495134;-0.00167905204274;0.00390508281558;1490978240.73
-0.000735585646032;-9.47424826991e-06;0.0;0.00380130854964;0.0;-0.000937950238993;-0.00167905204274;0.00380130854964;1490978240.75
