xTrajPlanned;yTrajPlanned;thetaTrajPlanned;kappaTrajPlanned;vtransTrajPlanned;vrotTrajPlanned;indexTrajPlanned
19.3458027831;7.90566649667;0.00134676190409;0.0;0.4;0;0;0
19.4345360915;7.90578599938;0.00134676190409;0.0;0.4;0;0;0
19.5232693999;7.90590550209;0.00134676190409;0.0;0.4;0;0;0
19.6120027084;7.9060250048;0.00134676190409;0.0;0.4;0;0;0
19.7007360168;7.90614450751;0.00134676190409;0.0;0.4;0;0;0
19.7894693253;7.90626401023;0.00134676190409;0.0;0.4;0;0;0
19.8782026337;7.90638351294;0.00134676190409;0.0;0.4;0;0;0
19.9669359422;7.90650301565;0.00134676190409;0.0;0.4;0;0;0
20.0556692506;7.90662251836;0.00134676190409;0.0;0.4;0;0;0
20.1444025591;7.90674202107;0.00134676190409;0.0;0.4;0;0;0
20.2331358675;7.90686152378;0.00134676190409;0.0;0.4;0;0;0
20.3218691759;7.9069810265;0.00134676190409;0.0;0.4;0;0;0
20.4106024844;7.90710052921;0.00134676190409;0.0;0.4;0;0;0
20.4993357928;7.90722003192;0.00134676190409;0.0;0.4;0;0;0
20.5880691013;7.90733953463;0.00134676190409;0.0;0.4;0;0;0
20.6768024097;7.90745903734;0.00134676190409;-0.0;0.4;0;0;0
20.7000035765;7.90748237074;0.000865705529006;-0.0416666666667;0.4;0;0;0
20.7231527818;7.90747537141;-0.000577463596237;-0.0833333333333;0.4;0;0;0
20.7462596271;7.90741792059;-0.00298274547164;-0.125;0.4;0;0;0
20.7693320798;7.90728946672;-0.00635014009721;-0.166666666667;0.4;0;0;0
20.7923766032;7.90706911941;-0.0106796474729;-0.208333333333;0.4;0;0;0
20.8153982673;7.90673572894;-0.0159712675988;-0.25;0.4;0;0;0
20.8384008407;7.90626795358;-0.0222250004749;-0.291666666667;0.4;0;0;0
20.8613868663;7.90564431687;-0.0294408461011;-0.333333333333;0.4;0;0;0
20.8843577228;7.90484325654;-0.0376188044775;-0.375;0.4;0;0;0
20.9073136713;7.90384316685;-0.046758875604;-0.416666666667;0.4;0;0;0
20.9302538904;7.90262243579;-0.0568610594807;-0.458333333333;0.4;0;0;0
20.9531765001;7.90115947855;-0.0679253561076;-0.5;0.4;0;0;0
20.9760785748;7.89943276844;-0.0799517654846;-0.541666666667;0.4;0;0;0
20.9989561484;7.89742086652;-0.0929402876118;-0.583333333333;0.4;0;0;0
21.0218042098;7.89510245092;-0.106890922489;-0.625;0.4;0;0;0
21.044616693;7.89245634678;-0.121803670117;-0.666666666667;0.4;0;0;0
21.0673864588;7.88946155777;-0.137678530494;-0.708333333333;0.4;0;0;0
21.0901052735;7.88609730001;-0.154515503622;-0.75;0.4;0;0;0
21.1127637809;7.88234303902;-0.1723145895;-0.791666666667;0.4;0;0;0
21.1353514723;7.87817853047;-0.191075788128;-0.833333333333;0.4;0;0;0
21.1578566528;7.87358386528;-0.210799099507;-0.875;0.4;0;0;0
21.1802664059;7.86853951964;-0.231484523635;-0.916666666667;0.4;0;0;0
21.2025665571;7.86302641039;-0.253132060514;-0.958333333333;0.4;0;0;0
21.2247416374;7.85702595623;-0.275741710143;-1.0;0.4;0;0;0
21.2467748467;7.85052014504;-0.299313472521;-1.04166666667;0.4;0;0;0
21.2686480193;7.84349160765;-0.323847347651;-1.08333333333;0.4;0;0;0
21.2903415917;7.83592369829;-0.34934333553;-1.125;0.4;0;0;0
21.3118345732;7.82780058186;-0.375801436159;-1.16666666667;0.4;0;0;0
21.3331045208;7.81910732815;-0.403221649539;-1.20833333333;0.4;0;0;0
21.3541275193;7.80983001296;-0.431603975669;-1.25;0.4;0;0;0
21.3748781665;7.7999558262;-0.460948414549;-1.29166666667;0.4;0;0;0
21.3953295665;7.78947318675;-0.491254966179;-1.33333333333;0.4;0;0;0
21.4073907732;7.78287754598;-0.509584322192;-1.33333333333;0.4;0;0;0
21.4193290669;7.77606195136;-0.527913678204;-1.33333333333;0.4;0;0;0
21.4311404367;7.76902869262;-0.546243034217;-1.33333333333;0.4;0;0;0
21.4428209146;7.76178013264;-0.56457239023;-1.33333333333;0.4;0;0;0
21.4543665765;7.75431870661;-0.582901746243;-1.33333333333;0.4;0;0;0
21.4657735434;7.74664692123;-0.601231102256;-1.33333333333;0.4;0;0;0
21.4770379832;7.73876735389;-0.619560458269;-1.33333333333;0.4;0;0;0
21.4881561116;7.73068265178;-0.637889814281;-1.33333333333;0.4;0;0;0
21.4991241932;7.722395531;-0.656219170294;-1.33333333333;0.4;0;0;0
21.5099385434;7.71390877566;-0.674548526307;-1.33333333333;0.4;0;0;0
